W	hierarchical	binary	sequential
0.01	18.1228377774455	13.5224173640311	16.1750880833411
0.02	17.5267759800549	12.0113454164658	16.4025705755732
0.03	16.7161942319123	11.3008701561588	16.1370906215613
0.04	15.6066618943674	10.779993918049	15.41365851336
0.05	14.4682976514347	9.89543315254067	14.4749726841531
0.06	13.4760247348249	9.06177293617756	13.9443167790013
0.07	12.2442288384886	8.70158198222825	12.6976766000411
0.08	11.3165939076283	8.36684691122128	11.6387026621913
0.09	10.7441397942286	7.98927324774678	10.861710958128
0.1	9.42521440935848	7.27935157620999	9.66370088242235
0.11	8.24399034414499	6.99133329459219	8.42892190421983
0.12	7.03933331713688	6.30031410749369	7.37186001324381
0.13	6.23793250051459	5.60847995400684	6.24917456929233
0.14	5.44183479401817	4.66902656169996	5.19875979572106
0.15	4.46846524152167	3.83219701579491	4.65916698494149
0.16	3.92538342768668	3.13417795848396	3.918343593628
0.17	3.01075728974713	2.58884825322629	3.07912603495221
0.18	2.62113244906937	2.23559014783246	2.71506076225774
0.19	1.92249994252661	1.14282032364335	2.040446318488
0.2	1.15364282025722	1.14282032364335	1.30858682665121
0.21	1.15364282025722	1.14282032364335	1.16532948633086
0.22	1.15364282025722	0.923375879198906	0.894821928883148
0.23	0.484905341446924	0.479287807076854	0.46759353166554
0.24	0.245689655172414	0.241379310344828	0.241379310344828
0.25	0	0	0
0.26	0	0	0
0.27	0	0	0
0.28	0	0	0
0.29	0	0	0
0.3	0	0	0
